1	Emma	20799	2
2	Olivia	19674	3
3	Sophia	18490	1
4	Isabella	16950	4
5	Ava	15586	5
6	Mia	13442	6
7	Emily	12562	7
8	Abigail	11985	8
9	Madison	10247	9
10	Charlotte	10048	11
11	Harper	9564	16
12	Sofia	9542	13
13	Avery	9517	12
14	Elizabeth	9492	10
15	Amelia	8727	17
16	Evelyn	8692	20
17	Ella	8489	15
18	Chloe	8469	14
19	Victoria	7955	25
20	Aubrey	7589	18
21	Grace	7554	22
22	Zoey	7358	24
23	Natalie	7061	21
24	Addison	6950	19
25	Lillian	6869	26
26	Brooklyn	6767	28
27	Lily	6727	27
28	Hannah	6512	23
29	Layla	6428	30
30	Scarlett	5965	42
31	Aria	5893	40
32	Zoe	5828	31
33	Samantha	5680	29
34	Anna	5639	35
35	Leah	5563	33
36	Audrey	5531	32
37	Ariana	5461	54
38	Allison	5440	34
39	Savannah	5433	37
40	Arianna	5240	44
41	Camila	5194	39
42	Penelope	5062	56
43	Gabriella	5051	38
44	Claire	4991	49
45	Aaliyah	4850	36
46	Sadie	4823	50
47	Riley	4761	45
48	Skylar	4732	73
49	Nora	4708	83
50	Sarah	4647	48
51	Hailey	4595	43
52	Kaylee	4513	41
53	Paisley	4473	80
54	Kennedy	4459	64
55	Ellie	4442	74
56	Peyton	4426	51
57	Annabelle	4324	81
58	Caroline	4307	63
59	Madelyn	4289	68
60	Serenity	4284	53
61	Aubree	4258	52
62	Lucy	4257	66
63	Alexa	4227	60
64	Alexis	4188	46
65	Nevaeh	4188	47
66	Stella	4165	70
67	Violet	4156	69
68	Genesis	4144	55
69	Mackenzie	4122	62
70	Bella	4050	58
71	Autumn	4034	65
72	Mila	4033	78
73	Kylie	3928	61
74	Maya	3904	72
75	Piper	3840	97
76	Alyssa	3798	57
77	Taylor	3782	59
78	Eleanor	3704	106
79	Melanie	3681	84
80	Naomi	3677	87
81	Faith	3664	89
82	Eva	3651	88
83	Katherine	3651	77
84	Lydia	3609	96
85	Brianna	3582	71
86	Julia	3578	75
87	Ashley	3539	67
88	Khloe	3518	79
89	Madeline	3409	90
90	Ruby	3383	93
91	Sophie	3364	76
92	Alexandra	3288	82
93	London	3264	85
94	Lauren	3072	91
95	Gianna	3061	86
96	Isabelle	3044	115
97	Alice	3042	107
98	Vivian	3040	119
99	Hadley	2992	111
100	Jasmine	2988	103
101	Morgan	2984	100
102	Kayla	2982	95
103	Cora	2945	127
104	Bailey	2929	105
105	Kimberly	2883	101
106	Reagan	2882	104
107	Hazel	2877	157
108	Clara	2833	131
109	Sydney	2831	98
110	Trinity	2781	108
111	Natalia	2778	120
112	Valentina	2769	129
113	Rylee	2753	109
114	Jocelyn	2744	99
115	Maria	2740	112
116	Aurora	2718	145
117	Eliana	2708	125
118	Brielle	2638	116
119	Liliana	2624	122
120	Mary	2611	121
121	Elena	2598	132
122	Molly	2578	102
123	Makayla	2559	94
124	Lilly	2550	124
125	Andrea	2543	110
126	Quinn	2539	118
127	Jordyn	2533	133
128	Adalynn	2512	173
129	Nicole	2511	92
130	Delilah	2496	135
131	Kendall	2432	130
132	Kinsley	2429	161
133	Ariel	2419	146
134	Payton	2397	123
135	Paige	2395	128
136	Mariah	2383	114
137	Brooke	2375	113
138	Willow	2373	155
139	Jade	2369	126
140	Lyla	2368	153
141	Mya	2367	117
142	Ximena	2323	162
143	Luna	2314	185
144	Isabel	2313	136
145	Mckenzie	2303	140
146	Ivy	2269	152
147	Josephine	2255	160
148	Amy	2178	139
149	Laila	2133	144
150	Isla	2122	167
151	Eden	2117	158
152	Adalyn	2105	177
153	Angelina	2105	147
154	Londyn	2081	164
155	Rachel	2051	138
156	Melody	2048	171
157	Juliana	2045	149
158	Kaitlyn	2044	134
159	Brooklynn	2043	142
160	Destiny	2043	137
161	Emery	2026	194
162	Gracie	2021	166
163	Norah	1994	186
164	Emilia	1989	208
165	Reese	1960	156
166	Elise	1959	159
167	Sara	1949	154
168	Aliyah	1947	148
169	Margaret	1933	181
170	Catherine	1923	172
171	Vanessa	1913	150
172	Katelyn	1910	143
